symbol,catalog,level1_code,level1_name,level2_code,level2_name
002268,TDXRSHY,X42,计算机,X420201,基础软件
002275,TDXRSHY,X27,医药医疗,X2706,中药
002287,TDXRSHY,X27,医药医疗,X2706,中药
002291,TDXRSHY,X43,传媒,X430201,互联网广告
002294,TDXRSHY,X27,医药医疗,X270101,化学制剂
002317,TDXRSHY,X27,医药医疗,X2706,中药
002320,TDXRSHY,X61,交通运输,X610302,航运
002322,TDXRSHY,X42,计算机,X420202,行业应用软件
002338,TDXRSHY,X32,机械设备,X320201,仪器仪表
002349,TDXRSHY,X27,医药医疗,X2706,中药
002356,TDXRSHY,X25,商贸,X250103,多业态零售
002360,TDXRSHY,X12,化工,X120403,民爆制品
002372,TDXRSHY,X15,建材,X150302,管材
002388,TDXRSHY,X40,电子,X4005,其他电子
002405,TDXRSHY,X42,计算机,X420202,行业应用软件
002410,TDXRSHY,X42,计算机,X420303,云软件服务
002414,TDXRSHY,X31,国防军工,X3105,军工电子
002415,TDXRSHY,X42,计算机,X420101,安防设备
002495,TDXRSHY,X21,食品饮料,X2104,调味品
002502,TDXRSHY,X43,传媒,X4301,游戏
002507,TDXRSHY,X21,食品饮料,X2104,调味品
002555,TDXRSHY,X43,传媒,X4301,游戏
002561,TDXRSHY,X25,商贸,X250102,百货
002568,TDXRSHY,X21,食品饮料,X210204,其他酒类
002635,TDXRSHY,X40,电子,X400201,消费电子组件
002646,TDXRSHY,X21,食品饮料,X210205,白酒
002649,TDXRSHY,X42,计算机,X420304,其他云服务
002667,TDXRSHY,X32,机械设备,X320301,能源及重型设备
002674,TDXRSHY,X22,纺织服饰,X220103,辅料
002677,TDXRSHY,X24,家电,X240401,厨房电器
002678,TDXRSHY,X23,轻工制造,X230402,娱乐用品
002687,TDXRSHY,X22,纺织服饰,X220204,非运动服装
002746,TDXRSHY,X20,农林牧渔,X200202,肉鸡养殖
002755,TDXRSHY,X27,医药医疗,X270101,化学制剂
002756,TDXRSHY,X13,钢铁,X1303,特钢
002762,TDXRSHY,X22,纺织服饰,X220204,非运动服装
002763,TDXRSHY,X22,纺织服饰,X220202,鞋帽及其他
002773,TDXRSHY,X27,医药医疗,X270101,化学制剂
002792,TDXRSHY,X41,通信,X410102,网络接配及塔设
002819,TDXRSHY,X32,机械设备,X320201,仪器仪表
002820,TDXRSHY,X21,食品饮料,X210502,烘焙食品
002826,TDXRSHY,X27,医药医疗,X270101,化学制剂
002833,TDXRSHY,X32,机械设备,X320399,其他专用设备
002836,TDXRSHY,X23,轻工制造,X230204,纸包装
002857,TDXRSHY,X32,机械设备,X320201,仪器仪表
002862,TDXRSHY,X23,轻工制造,X230402,娱乐用品
002867,TDXRSHY,X22,纺织服饰,X220301,钟表珠宝
002875,TDXRSHY,X22,纺织服饰,X220204,非运动服装
002880,TDXRSHY,X27,医药医疗,X270201,血液制品
002899,TDXRSHY,X23,轻工制造,X230402,娱乐用品
002903,TDXRSHY,X32,机械设备,X320202,机床制造
002919,TDXRSHY,X12,化工,X120101,洗护用品
002933,TDXRSHY,X31,国防军工,X3102,航空装备
002940,TDXRSHY,X27,医药医疗,X270101,化学制剂
002955,TDXRSHY,X40,电子,X400202,品牌消费电子
002962,TDXRSHY,X40,电子,X400302,光学元件
002968,TDXRSHY,X53,房地产,X530201,物业管理
002978,TDXRSHY,X14,有色,X140403,钛
002986,TDXRSHY,X12,化工,X120306,有机化工原料
003000,TDXRSHY,X21,食品饮料,X210501,零食
003004,TDXRSHY,X42,计算机,X420101,安防设备
003007,TDXRSHY,X42,计算机,X420303,云软件服务
003008,TDXRSHY,X60,社会服务,X600602,检测服务
003016,TDXRSHY,X22,纺织服饰,X220204,非运动服装
003018,TDXRSHY,X23,轻工制造,X230203,塑料包装
003021,TDXRSHY,X30,电力设备,X3001,电机制造
003023,TDXRSHY,X24,家电,X240303,个护小家电
003040,TDXRSHY,X41,通信,X410104,通信终端及配件
003041,TDXRSHY,X22,纺织服饰,X220201,家纺
300004,TDXRSHY,X32,机械设备,X320299,其他通用设备
300005,TDXRSHY,X22,纺织服饰,X220203,运动服装
300016,TDXRSHY,X27,医药医疗,X270101,化学制剂
300033,TDXRSHY,X42,计算机,X420202,行业应用软件
300039,TDXRSHY,X27,医药医疗,X2706,中药
300079,TDXRSHY,X41,通信,X410105,其他通信设备
300081,TDXRSHY,X41,通信,X410202,电信增值服务
300113,TDXRSHY,X43,传媒,X4301,游戏
300127,TDXRSHY,X14,有色,X140501,磁性材料
300130,TDXRSHY,X42,计算机,X420102,其他IT设备
300133,TDXRSHY,X43,传媒,X430301,影视制作
300137,TDXRSHY,X63,环保,X6303,环境监测
300143,TDXRSHY,X27,医药医疗,X270302,医疗设备
300146,TDXRSHY,X21,食品饮料,X210604,保健品
300148,TDXRSHY,X43,传媒,X4301,游戏
300155,TDXRSHY,X42,计算机,X420101,安防设备
300170,TDXRSHY,X42,计算机,X420302,云平台服务
300191,TDXRSHY,X11,石油,X110201,油田服务
300193,TDXRSHY,X32,机械设备,X320299,其他通用设备
300206,TDXRSHY,X27,医药医疗,X270302,医疗设备
300245,TDXRSHY,X42,计算机,X420202,行业应用软件
300247,TDXRSHY,X24,家电,X240303,个护小家电
300248,TDXRSHY,X42,计算机,X420102,其他IT设备
300271,TDXRSHY,X42,计算机,X420202,行业应用软件
300289,TDXRSHY,X27,医药医疗,X270204,诊断试剂
300291,TDXRSHY,X43,传媒,X430301,影视制作
300294,TDXRSHY,X27,医药医疗,X270201,血液制品
300306,TDXRSHY,X32,机械设备,X320201,仪器仪表
300310,TDXRSHY,X41,通信,X410303,网络优化运维
300314,TDXRSHY,X27,医药医疗,X270302,医疗设备
300315,TDXRSHY,X43,传媒,X4301,游戏
300357,TDXRSHY,X27,医药医疗,X270206,其他生物制药
300365,TDXRSHY,X42,计算机,X420202,行业应用软件
300386,TDXRSHY,X42,计算机,X420202,行业应用软件
300394,TDXRSHY,X41,通信,X410102,网络接配及塔设
300401,TDXRSHY,X27,医药医疗,X270102,原料药
300404,TDXRSHY,X27,医药医疗,X270402,医疗研发外包
300406,TDXRSHY,X27,医药医疗,X270204,诊断试剂
300445,TDXRSHY,X32,机械设备,X320201,仪器仪表
300456,TDXRSHY,X40,电子,X400105,半导体制造
300458,TDXRSHY,X40,电子,X400103,集成电路设计
300467,TDXRSHY,X43,传媒,X4301,游戏
300479,TDXRSHY,X42,计算机,X420102,其他IT设备
300482,TDXRSHY,X27,医药医疗,X270304,体外诊断
300494,TDXRSHY,X43,传媒,X4301,游戏
300504,TDXRSHY,X41,通信,X410104,通信终端及配件
300508,TDXRSHY,X42,计算机,X420102,其他IT设备
300516,TDXRSHY,X31,国防军工,X3105,军工电子
300525,TDXRSHY,X42,计算机,X420202,行业应用软件
300529,TDXRSHY,X27,医药医疗,X270303,医疗耗材
300531,TDXRSHY,X41,通信,X410104,通信终端及配件
300533,TDXRSHY,X43,传媒,X4301,游戏
300534,TDXRSHY,X27,医药医疗,X2706,中药
300551,TDXRSHY,X42,计算机,X420102,其他IT设备
300552,TDXRSHY,X42,计算机,X420102,其他IT设备
300558,TDXRSHY,X27,医药医疗,X270101,化学制剂
300559,TDXRSHY,X42,计算机,X420202,行业应用软件
300573,TDXRSHY,X27,医药医疗,X270101,化学制剂
300578,TDXRSHY,X41,通信,X410202,电信增值服务
300595,TDXRSHY,X27,医药医疗,X270303,医疗耗材
300597,TDXRSHY,X41,通信,X410301,网络规划设计
300599,TDXRSHY,X15,建材,X150302,管材
300609,TDXRSHY,X42,计算机,X420202,行业应用软件
300613,TDXRSHY,X40,电子,X400103,集成电路设计
300615,TDXRSHY,X41,通信,X410102,网络接配及塔设
300622,TDXRSHY,X25,商贸,X2504,专业连锁
300632,TDXRSHY,X40,电子,X400303,LED
300653,TDXRSHY,X27,医药医疗,X270303,医疗耗材
300661,TDXRSHY,X40,电子,X400103,集成电路设计
300669,TDXRSHY,X32,机械设备,X320305,楼宇设备
300673,TDXRSHY,X20,农林牧渔,X200503,宠物食品
300676,TDXRSHY,X27,医药医疗,X270401,诊断服务
300677,TDXRSHY,X27,医药医疗,X270303,医疗耗材
300684,TDXRSHY,X40,电子,X4005,其他电子
300687,TDXRSHY,X42,计算机,X420304,其他云服务
300688,TDXRSHY,X60,社会服务,X6002,教育培训
300699,TDXRSHY,X12,化工,X120205,碳纤维
300711,TDXRSHY,X41,通信,X410105,其他通信设备
300720,TDXRSHY,X32,机械设备,X320201,仪器仪表
300723,TDXRSHY,X27,医药医疗,X270101,化学制剂
300725,TDXRSHY,X27,医药医疗,X270402,医疗研发外包
300735,TDXRSHY,X40,电子,X400201,消费电子组件
300736,TDXRSHY,X60,社会服务,X600604,其他专业服务
300741,TDXRSHY,X12,化工,X120406,食品助剂
300760,TDXRSHY,X27,医药医疗,X270302,医疗设备
300765,TDXRSHY,X21,食品饮料,X210604,保健品
300766,TDXRSHY,X42,计算机,X420202,行业应用软件
300768,TDXRSHY,X42,计算机,X420201,基础软件
300770,TDXRSHY,X43,传媒,X4307,广播电视
300771,TDXRSHY,X42,计算机,X420102,其他IT设备
300777,TDXRSHY,X12,化工,X120205,碳纤维
300792,TDXRSHY,X25,商贸,X250603,电商服务
300793,TDXRSHY,X40,电子,X400201,消费电子组件
300795,TDXRSHY,X60,社会服务,X600603,会展服务
300797,TDXRSHY,X60,社会服务,X600602,检测服务
300799,TDXRSHY,X42,计算机,X420201,基础软件
300803,TDXRSHY,X42,计算机,X420202,行业应用软件
300805,TDXRSHY,X43,传媒,X430202,其他广告营销
300813,TDXRSHY,X27,医药医疗,X270305,制药装备
300819,TDXRSHY,X22,纺织服饰,X220104,其他纺织
300822,TDXRSHY,X40,电子,X4005,其他电子
300831,TDXRSHY,X40,电子,X400104,功率半导体
300834,TDXRSHY,X12,化工,X120501,合成树脂
300847,TDXRSHY,X12,化工,X120499,其他化学制品
300849,TDXRSHY,X23,轻工制造,X230203,塑料包装
300858,TDXRSHY,X12,化工,X120406,食品助剂
300859,TDXRSHY,X60,社会服务,X600502,旅游服务
300875,TDXRSHY,X31,国防军工,X3101,地面兵装
300882,TDXRSHY,X30,电力设备,X300301,电工仪器
300883,TDXRSHY,X23,轻工制造,X230204,纸包装
300886,TDXRSHY,X12,化工,X120499,其他化学制品
300888,TDXRSHY,X27,医药医疗,X270303,医疗耗材
300892,TDXRSHY,X21,食品饮料,X210302,乳制品
300894,TDXRSHY,X24,家电,X240401,厨房电器
300895,TDXRSHY,X42,计算机,X420301,云基础设施服务
300908,TDXRSHY,X21,食品饮料,X2104,调味品
300909,TDXRSHY,X40,电子,X400302,光学元件
300910,TDXRSHY,X12,化工,X120499,其他化学制品
300911,TDXRSHY,X24,家电,X240401,厨房电器
300916,TDXRSHY,X40,电子,X4005,其他电子
300917,TDXRSHY,X53,房地产,X530201,物业管理
300918,TDXRSHY,X22,纺织服饰,X220104,其他纺织
300921,TDXRSHY,X41,通信,X410202,电信增值服务
300936,TDXRSHY,X40,电子,X400401,PCB
300938,TDXRSHY,X60,社会服务,X600602,检测服务
300941,TDXRSHY,X42,计算机,X420102,其他IT设备
300945,TDXRSHY,X22,纺织服饰,X220301,钟表珠宝
300947,TDXRSHY,X53,房地产,X530102,商业地产
300951,TDXRSHY,X40,电子,X400201,消费电子组件
300957,TDXRSHY,X12,化工,X120102,化妆品
300962,TDXRSHY,X27,医药医疗,X270305,制药装备
300965,TDXRSHY,X31,国防军工,X3102,航空装备
300973,TDXRSHY,X21,食品饮料,X210502,烘焙食品
300993,TDXRSHY,X23,轻工制造,X230302,其他家居
300996,TDXRSHY,X42,计算机,X420202,行业应用软件
301004,TDXRSHY,X23,轻工制造,X230302,其他家居
301009,TDXRSHY,X23,轻工制造,X230102,生活用纸
301019,TDXRSHY,X12,化工,X120505,塑料助剂
301023,TDXRSHY,X30,电力设备,X3001,电机制造
301025,TDXRSHY,X43,传媒,X430602,大众出版
301041,TDXRSHY,X40,电子,X400401,PCB
301043,TDXRSHY,X32,机械设备,X320299,其他通用设备
301049,TDXRSHY,X63,环保,X630203,固废治理
301056,TDXRSHY,X32,机械设备,X320305,楼宇设备
301057,TDXRSHY,X12,化工,X120201,涤纶
301059,TDXRSHY,X12,化工,X120399,其他化学原料
301067,TDXRSHY,X40,电子,X400201,消费电子组件
301087,TDXRSHY,X27,医药医疗,X270301,家用器械
301093,TDXRSHY,X27,医药医疗,X270303,医疗耗材
301096,TDXRSHY,X27,医药医疗,X270402,医疗研发外包
301101,TDXRSHY,X23,轻工制造,X230401,文化用品
301102,TDXRSHY,X43,传媒,X430202,其他广告营销
301103,TDXRSHY,X27,医药医疗,X270403,医院
301108,TDXRSHY,X12,化工,X120101,洗护用品
301127,TDXRSHY,X63,环保,X630202,水治理
301130,TDXRSHY,X27,医药医疗,X270101,化学制剂
301138,TDXRSHY,X32,机械设备,X320399,其他专用设备
301153,TDXRSHY,X42,计算机,X420202,行业应用软件
301166,TDXRSHY,X27,医药医疗,X270501,医药流通
301168,TDXRSHY,X30,电力设备,X300405,光伏辅材
301177,TDXRSHY,X22,纺织服饰,X220301,钟表珠宝
301181,TDXRSHY,X26,汽车,X260304,其他汽车零部件
301185,TDXRSHY,X42,计算机,X420202,行业应用软件
301193,TDXRSHY,X23,轻工制造,X230302,其他家居
301198,TDXRSHY,X23,轻工制造,X230203,塑料包装
301221,TDXRSHY,X26,汽车,X260305,汽车电子电气系统
301258,TDXRSHY,X27,医药医疗,X270102,原料药
600009,TDXRSHY,X61,交通运输,X610202,机场
600037,TDXRSHY,X43,传媒,X4307,广播电视
600052,TDXRSHY,X43,传媒,X430301,影视制作
600054,TDXRSHY,X60,社会服务,X600501,旅游景区
600055,TDXRSHY,X27,医药医疗,X270302,医疗设备
600059,TDXRSHY,X21,食品饮料,X210203,黄酒
600080,TDXRSHY,X27,医药医疗,X2706,中药
600085,TDXRSHY,X27,医药医疗,X2706,中药
600088,TDXRSHY,X43,传媒,X430301,影视制作
600126,TDXRSHY,X13,钢铁,X130202,板材
600137,TDXRSHY,X22,纺织服饰,X220202,鞋帽及其他
600179,TDXRSHY,X61,交通运输,X610404,仓储物流
600201,TDXRSHY,X20,农林牧渔,X2007,动物保健
600211,TDXRSHY,X27,医药医疗,X2706,中药
600229,TDXRSHY,X43,传媒,X430602,大众出版
600271,TDXRSHY,X42,计算机,X420202,行业应用软件
600301,TDXRSHY,X25,商贸,X2505,贸易
600371,TDXRSHY,X20,农林牧渔,X200103,种子
600373,TDXRSHY,X43,传媒,X430602,大众出版
600380,TDXRSHY,X27,医药医疗,X270101,化学制剂
600387,TDXRSHY,X11,石油,X110302,石油贸易
600495,TDXRSHY,X32,机械设备,X3201,轨交设备
600506,TDXRSHY,X12,化工,X120499,其他化学制品
600519,TDXRSHY,X21,食品饮料,X210205,白酒
600532,TDXRSHY,X25,商贸,X2505,贸易
600539,TDXRSHY,X25,商贸,X250603,电商服务
600563,TDXRSHY,X40,电子,X400402,被动元件
600566,TDXRSHY,X27,医药医疗,X2706,中药
600568,TDXRSHY,X27,医药医疗,X270403,医院
600576,TDXRSHY,X43,传媒,X430301,影视制作
600598,TDXRSHY,X20,农林牧渔,X200101,粮食种植
600616,TDXRSHY,X21,食品饮料,X210203,黄酒
600636,TDXRSHY,X60,社会服务,X6002,教育培训
600640,TDXRSHY,X43,传媒,X430401,视频音频媒体
600641,TDXRSHY,X53,房地产,X530101,住宅开发
600650,TDXRSHY,X61,交通运输,X610103,公共交通
600652,TDXRSHY,X43,传媒,X4301,游戏
600722,TDXRSHY,X12,化工,X120301,煤化工
600724,TDXRSHY,X15,建材,X150101,水泥制造
600725,TDXRSHY,X10,煤炭,X1002,焦炭加工
600735,TDXRSHY,X22,纺织服饰,X220303,其他饰品
600749,TDXRSHY,X60,社会服务,X600501,旅游景区
600751,TDXRSHY,X25,商贸,X2505,贸易
600770,TDXRSHY,X99,综合,X9901,综合类
600868,TDXRSHY,X42,计算机,X420202,行业应用软件
600882,TDXRSHY,X21,食品饮料,X210302,乳制品
600916,TDXRSHY,X22,纺织服饰,X220301,钟表珠宝
600965,TDXRSHY,X21,食品饮料,X210603,预加工食品
600993,TDXRSHY,X27,医药医疗,X2706,中药
601000,TDXRSHY,X61,交通运输,X610301,港口
601019,TDXRSHY,X43,传媒,X430601,教育出版
601116,TDXRSHY,X25,商贸,X250101,超市及便利店
601188,TDXRSHY,X61,交通运输,X610102,高速公路
601515,TDXRSHY,X23,轻工制造,X230204,纸包装
601519,TDXRSHY,X42,计算机,X420202,行业应用软件
601595,TDXRSHY,X43,传媒,X430302,发行院线
601698,TDXRSHY,X31,国防军工,X3103,航天装备
601921,TDXRSHY,X43,传媒,X430602,大众出版
603005,TDXRSHY,X40,电子,X400106,半导体封测
603023,TDXRSHY,X26,汽车,X260305,汽车电子电气系统
603037,TDXRSHY,X26,汽车,X260302,底盘与发动机系统
603040,TDXRSHY,X26,汽车,X260302,底盘与发动机系统
603043,TDXRSHY,X21,食品饮料,X210502,烘焙食品
603068,TDXRSHY,X40,电子,X400103,集成电路设计
603079,TDXRSHY,X12,化工,X120406,食品助剂
603102,TDXRSHY,X21,食品饮料,X210604,保健品
603127,TDXRSHY,X27,医药医疗,X270402,医疗研发外包
603136,TDXRSHY,X60,社会服务,X600501,旅游景区
603138,TDXRSHY,X42,计算机,X420201,基础软件
603171,TDXRSHY,X42,计算机,X420202,行业应用软件
603189,TDXRSHY,X42,计算机,X420202,行业应用软件
603216,TDXRSHY,X23,轻工制造,X230301,家具
603221,TDXRSHY,X23,轻工制造,X230301,家具
603226,TDXRSHY,X23,轻工制造,X230301,家具
603229,TDXRSHY,X27,医药医疗,X270102,原料药
603230,TDXRSHY,X43,传媒,X430601,教育出版
603232,TDXRSHY,X42,计算机,X420201,基础软件
603258,TDXRSHY,X43,传媒,X4301,游戏
603272,TDXRSHY,X23,轻工制造,X230302,其他家居
603288,TDXRSHY,X21,食品饮料,X2104,调味品
603309,TDXRSHY,X27,医药医疗,X270303,医疗耗材
603317,TDXRSHY,X21,食品饮料,X2104,调味品
603328,TDXRSHY,X40,电子,X400401,PCB
603335,TDXRSHY,X26,汽车,X260303,轮胎轮毂
603353,TDXRSHY,X11,石油,X110302,石油贸易
603365,TDXRSHY,X22,纺织服饰,X220201,家纺
603383,TDXRSHY,X42,计算机,X420202,行业应用软件
603387,TDXRSHY,X27,医药医疗,X270204,诊断试剂
603398,TDXRSHY,X23,轻工制造,X230402,娱乐用品
603429,TDXRSHY,X23,轻工制造,X230204,纸包装
603439,TDXRSHY,X27,医药医疗,X2706,中药
603444,TDXRSHY,X43,传媒,X4301,游戏
603511,TDXRSHY,X22,纺织服饰,X220202,鞋帽及其他
603516,TDXRSHY,X42,计算机,X420102,其他IT设备
603528,TDXRSHY,X42,计算机,X420102,其他IT设备
603533,TDXRSHY,X43,传媒,X430402,文字图片媒体
603551,TDXRSHY,X24,家电,X240402,卫浴电器
603583,TDXRSHY,X32,机械设备,X320502,工业控制设备
603586,TDXRSHY,X26,汽车,X260302,底盘与发动机系统
603587,TDXRSHY,X22,纺织服饰,X220204,非运动服装
603605,TDXRSHY,X12,化工,X120102,化妆品
603648,TDXRSHY,X61,交通运输,X610401,供应链服务
603669,TDXRSHY,X27,医药医疗,X270101,化学制剂
603682,TDXRSHY,X25,商贸,X2503,商业物业
603697,TDXRSHY,X21,食品饮料,X210503,熟食
603728,TDXRSHY,X30,电力设备,X3001,电机制造
603788,TDXRSHY,X26,汽车,X260302,底盘与发动机系统
603798,TDXRSHY,X11,石油,X110303,其他石化
603860,TDXRSHY,X52,建筑,X5204,工程咨询服务
603888,TDXRSHY,X43,传媒,X430402,文字图片媒体
603893,TDXRSHY,X40,电子,X400103,集成电路设计
603896,TDXRSHY,X27,医药医疗,X2706,中药
603918,TDXRSHY,X42,计算机,X420202,行业应用软件
603949,TDXRSHY,X26,汽车,X260302,底盘与发动机系统
603963,TDXRSHY,X27,医药医疗,X2706,中药
603986,TDXRSHY,X40,电子,X400103,集成电路设计
603990,TDXRSHY,X42,计算机,X420202,行业应用软件
605003,TDXRSHY,X22,纺织服饰,X220201,家纺
605009,TDXRSHY,X23,轻工制造,X230102,生活用纸
605016,TDXRSHY,X12,化工,X120406,食品助剂
605080,TDXRSHY,X22,纺织服饰,X220202,鞋帽及其他
605089,TDXRSHY,X21,食品饮料,X210603,预加工食品
605098,TDXRSHY,X60,社会服务,X6002,教育培训
605108,TDXRSHY,X60,社会服务,X600302,餐饮
605111,TDXRSHY,X40,电子,X400104,功率半导体
605116,TDXRSHY,X27,医药医疗,X270102,原料药
605151,TDXRSHY,X26,汽车,X260301,车身附件及饰件
605155,TDXRSHY,X23,轻工制造,X230302,其他家居
605198,TDXRSHY,X21,食品饮料,X210301,软饮料
605255,TDXRSHY,X26,汽车,X260302,底盘与发动机系统
605259,TDXRSHY,X32,机械设备,X320299,其他通用设备
605318,TDXRSHY,X15,建材,X150306,其他建材
605337,TDXRSHY,X21,食品饮料,X210302,乳制品
605338,TDXRSHY,X21,食品饮料,X210603,预加工食品
605339,TDXRSHY,X21,食品饮料,X210502,烘焙食品
605388,TDXRSHY,X21,食品饮料,X210302,乳制品
605398,TDXRSHY,X42,计算机,X420304,其他云服务
605588,TDXRSHY,X40,电子,X400302,光学元件
605598,TDXRSHY,X52,建筑,X520304,其他专业工程
688012,TDXRSHY,X40,电子,X400102,半导体设备
688013,TDXRSHY,X27,医药医疗,X270303,医疗耗材
688016,TDXRSHY,X27,医药医疗,X270303,医疗耗材
688020,TDXRSHY,X40,电子,X400401,PCB
688023,TDXRSHY,X42,计算机,X420201,基础软件
688026,TDXRSHY,X12,化工,X120506,其他塑料制品
688028,TDXRSHY,X32,机械设备,X320203,机械基础件
688033,TDXRSHY,X32,机械设备,X3201,轨交设备
688049,TDXRSHY,X40,电子,X400103,集成电路设计
688050,TDXRSHY,X27,医药医疗,X270303,医疗耗材
688056,TDXRSHY,X32,机械设备,X320201,仪器仪表
688062,TDXRSHY,X27,医药医疗,X270206,其他生物制药
688067,TDXRSHY,X27,医药医疗,X270304,体外诊断
688068,TDXRSHY,X27,医药医疗,X270204,诊断试剂
688072,TDXRSHY,X40,电子,X400102,半导体设备
688079,TDXRSHY,X40,电子,X400302,光学元件
688083,TDXRSHY,X42,计算机,X420202,行业应用软件
688086,TDXRSHY,X42,计算机,X420102,其他IT设备
688087,TDXRSHY,X63,环保,X630203,固废治理
688088,TDXRSHY,X42,计算机,X420203,新兴软件
688089,TDXRSHY,X12,化工,X120406,食品助剂
688095,TDXRSHY,X42,计算机,X420201,基础软件
688099,TDXRSHY,X40,电子,X400103,集成电路设计
688106,TDXRSHY,X40,电子,X400101,半导体材料
688107,TDXRSHY,X40,电子,X400103,集成电路设计
688110,TDXRSHY,X40,电子,X400103,集成电路设计
688112,TDXRSHY,X32,机械设备,X320201,仪器仪表
688129,TDXRSHY,X15,建材,X150305,涂料
688135,TDXRSHY,X40,电子,X400106,半导体封测
688139,TDXRSHY,X27,医药医疗,X270302,医疗设备
688158,TDXRSHY,X42,计算机,X420301,云基础设施服务
688161,TDXRSHY,X27,医药医疗,X270303,医疗耗材
688177,TDXRSHY,X27,医药医疗,X270206,其他生物制药
688179,TDXRSHY,X12,化工,X120499,其他化学制品
688182,TDXRSHY,X41,通信,X410102,网络接配及塔设
688185,TDXRSHY,X27,医药医疗,X270202,疫苗
688192,TDXRSHY,X27,医药医疗,X270206,其他生物制药
688193,TDXRSHY,X27,医药医疗,X270204,诊断试剂
688196,TDXRSHY,X63,环保,X630203,固废治理
688197,TDXRSHY,X27,医药医疗,X270101,化学制剂
688206,TDXRSHY,X40,电子,X400103,集成电路设计
688208,TDXRSHY,X42,计算机,X420102,其他IT设备
688210,TDXRSHY,X40,电子,X400201,消费电子组件
688212,TDXRSHY,X27,医药医疗,X270302,医疗设备
688217,TDXRSHY,X27,医药医疗,X270204,诊断试剂
688221,TDXRSHY,X27,医药医疗,X270206,其他生物制药
688233,TDXRSHY,X40,电子,X400101,半导体材料
688234,TDXRSHY,X40,电子,X400101,半导体材料
688235,TDXRSHY,X27,医药医疗,X270206,其他生物制药
688248,TDXRSHY,X30,电力设备,X300302,电网自动化
688258,TDXRSHY,X42,计算机,X420403,产联网综合服务
688262,TDXRSHY,X40,电子,X400103,集成电路设计
688265,TDXRSHY,X27,医药医疗,X270404,其他医疗服务
688266,TDXRSHY,X27,医药医疗,X270206,其他生物制药
688277,TDXRSHY,X27,医药医疗,X270302,医疗设备
688278,TDXRSHY,X27,医药医疗,X270206,其他生物制药
688286,TDXRSHY,X40,电子,X400103,集成电路设计
688287,TDXRSHY,X31,国防军工,X3102,航空装备
688301,TDXRSHY,X27,医药医疗,X270302,医疗设备
688305,TDXRSHY,X32,机械设备,X320202,机床制造
688309,TDXRSHY,X63,环保,X6301,环保设备
688312,TDXRSHY,X32,机械设备,X320399,其他专用设备
688314,TDXRSHY,X27,医药医疗,X270303,医疗耗材
688316,TDXRSHY,X42,计算机,X420301,云基础设施服务
688317,TDXRSHY,X27,医药医疗,X270204,诊断试剂
